,h,l,n,fairness_sent,cor,cor_abs
323,150,250,125,fairness_sent,0.4131,0.4131
324,150,250,150,fairness_sent,0.4079,0.4079
325,150,275,25,fairness_sent,0.2912,0.2912
326,150,275,50,fairness_sent,0.3754,0.3754
327,150,275,75,fairness_sent,0.4019,0.4019
328,150,275,100,fairness_sent,0.382,0.382
329,150,275,125,fairness_sent,0.3968,0.3968
330,150,275,150,fairness_sent,0.3834,0.3834
331,150,300,25,fairness_sent,0.2733,0.2733
332,150,300,50,fairness_sent,0.3642,0.3642
333,150,300,75,fairness_sent,0.3723,0.3723
334,150,300,100,fairness_sent,0.3568,0.3568
335,150,300,125,fairness_sent,0.3833,0.3833
336,150,300,150,fairness_sent,0.3572,0.3572
337,150,325,25,fairness_sent,0.1961,0.1961
338,150,325,50,fairness_sent,-0.3514,0.3514
339,150,325,75,fairness_sent,0.3679,0.3679
340,150,325,100,fairness_sent,0.3528,0.3528
341,150,325,125,fairness_sent,0.3655,0.3655
342,150,325,150,fairness_sent,0.3743,0.3743
343,150,350,25,fairness_sent,0.2337,0.2337
344,150,350,50,fairness_sent,0.3652,0.3652
345,150,350,75,fairness_sent,0.3799,0.3799
346,150,350,100,fairness_sent,0.3567,0.3567
347,150,350,125,fairness_sent,0.3597,0.3597
348,150,350,150,fairness_sent,0.3549,0.3549
349,150,375,25,fairness_sent,0.2752,0.2752
350,150,375,50,fairness_sent,0.3582,0.3582
351,150,375,75,fairness_sent,0.3904,0.3904
352,150,375,100,fairness_sent,0.357,0.357
353,150,375,125,fairness_sent,0.352,0.352
354,150,375,150,fairness_sent,0.341,0.341
355,150,400,25,fairness_sent,0.2256,0.2256
356,150,400,50,fairness_sent,0.3663,0.3663
357,150,400,75,fairness_sent,0.3873,0.3873
358,150,400,100,fairness_sent,0.3777,0.3777
359,150,400,125,fairness_sent,0.3589,0.3589
360,150,400,150,fairness_sent,0.3376,0.3376
361,150,425,25,fairness_sent,-0.1833,0.1833
362,150,425,50,fairness_sent,0.3649,0.3649
363,150,425,75,fairness_sent,0.4025,0.4025
364,150,425,100,fairness_sent,0.3694,0.3694
365,150,425,125,fairness_sent,0.3557,0.3557
366,150,425,150,fairness_sent,0.3285,0.3285
367,150,450,25,fairness_sent,-0.1833,0.1833
368,150,450,50,fairness_sent,0.3719,0.3719
369,150,450,75,fairness_sent,0.4031,0.4031
370,150,450,100,fairness_sent,0.3451,0.3451
371,150,450,125,fairness_sent,0.3437,0.3437
372,150,450,150,fairness_sent,0.3249,0.3249
373,150,475,25,fairness_sent,-0.2163,0.2163
374,150,475,50,fairness_sent,0.3608,0.3608
375,150,475,75,fairness_sent,0.4013,0.4013
376,150,475,100,fairness_sent,0.3388,0.3388
377,150,475,125,fairness_sent,0.3347,0.3347
378,150,475,150,fairness_sent,0.3254,0.3254
379,150,500,25,fairness_sent,0.2145,0.2145
380,150,500,50,fairness_sent,0.3673,0.3673
381,150,500,75,fairness_sent,0.3982,0.3982
382,150,500,100,fairness_sent,0.3376,0.3376
383,150,500,125,fairness_sent,0.3335,0.3335
