,h,l,n,sanctity_sent,cor,cor_abs
356,150,400,50,sanctity_sent,-0.3603,0.3603
357,150,400,75,sanctity_sent,0.393,0.393
358,150,400,100,sanctity_sent,-0.3987,0.3987
359,150,400,125,sanctity_sent,0.3713,0.3713
360,150,400,150,sanctity_sent,0.3289,0.3289
361,150,425,25,sanctity_sent,0.2211,0.2211
362,150,425,50,sanctity_sent,0.3257,0.3257
363,150,425,75,sanctity_sent,0.3809,0.3809
364,150,425,100,sanctity_sent,0.3685,0.3685
365,150,425,125,sanctity_sent,0.3482,0.3482
366,150,425,150,sanctity_sent,0.3099,0.3099
367,150,450,25,sanctity_sent,0.2066,0.2066
368,150,450,50,sanctity_sent,0.3413,0.3413
369,150,450,75,sanctity_sent,0.3762,0.3762
370,150,450,100,sanctity_sent,0.3477,0.3477
371,150,450,125,sanctity_sent,0.3328,0.3328
372,150,450,150,sanctity_sent,0.313,0.313
373,150,475,25,sanctity_sent,0.1383,0.1383
374,150,475,50,sanctity_sent,0.3405,0.3405
375,150,475,75,sanctity_sent,0.3619,0.3619
376,150,475,100,sanctity_sent,-0.3358,0.3358
377,150,475,125,sanctity_sent,0.3419,0.3419
378,150,475,150,sanctity_sent,0.3194,0.3194
379,150,500,25,sanctity_sent,-0.0503,0.0503
380,150,500,50,sanctity_sent,0.3414,0.3414
381,150,500,75,sanctity_sent,0.3637,0.3637
382,150,500,100,sanctity_sent,0.3289,0.3289
383,150,500,125,sanctity_sent,0.3278,0.3278
384,150,500,150,sanctity_sent,0.3079,0.3079
385,175,25,25,sanctity_sent,-0.1625,0.1625
386,175,50,25,sanctity_sent,-0.2956,0.2956
387,175,50,50,sanctity_sent,-0.2387,0.2387
388,175,75,25,sanctity_sent,0.3427,0.3427
389,175,75,50,sanctity_sent,-0.3913,0.3913
390,175,75,75,sanctity_sent,-0.3813,0.3813
391,175,100,25,sanctity_sent,0.3631,0.3631
392,175,100,50,sanctity_sent,-0.3907,0.3907
393,175,100,75,sanctity_sent,-0.4201,0.4201
394,175,100,100,sanctity_sent,-0.4298,0.4298
395,175,125,25,sanctity_sent,-0.373,0.373
396,175,125,50,sanctity_sent,0.4124,0.4124
397,175,125,75,sanctity_sent,0.4248,0.4248
398,175,125,100,sanctity_sent,-0.4634,0.4634
399,175,125,125,sanctity_sent,-0.4356,0.4356
400,175,150,25,sanctity_sent,-0.3792,0.3792
401,175,150,50,sanctity_sent,-0.4212,0.4212
402,175,150,75,sanctity_sent,0.4109,0.4109
403,175,150,100,sanctity_sent,-0.4221,0.4221
404,175,150,125,sanctity_sent,-0.4436,0.4436
405,175,150,150,sanctity_sent,-0.4594,0.4594
406,175,175,25,sanctity_sent,-0.335,0.335
407,175,175,50,sanctity_sent,-0.4284,0.4284
408,175,175,75,sanctity_sent,-0.4329,0.4329
409,175,175,100,sanctity_sent,-0.4128,0.4128
410,175,175,125,sanctity_sent,-0.4206,0.4206
411,175,175,150,sanctity_sent,-0.4542,0.4542
412,175,175,175,sanctity_sent,-0.4569,0.4569
413,175,200,25,sanctity_sent,-0.3904,0.3904
414,175,200,50,sanctity_sent,-0.4403,0.4403
415,175,200,75,sanctity_sent,0.4408,0.4408
416,175,200,100,sanctity_sent,0.4354,0.4354
417,175,200,125,sanctity_sent,-0.4195,0.4195
418,175,200,150,sanctity_sent,-0.4258,0.4258
419,175,200,175,sanctity_sent,-0.4378,0.4378
420,175,225,25,sanctity_sent,-0.3493,0.3493
421,175,225,50,sanctity_sent,0.3981,0.3981
422,175,225,75,sanctity_sent,0.4347,0.4347
423,175,225,100,sanctity_sent,0.435,0.435
424,175,225,125,sanctity_sent,-0.4215,0.4215
425,175,225,150,sanctity_sent,-0.4154,0.4154
426,175,225,175,sanctity_sent,-0.4099,0.4099
427,175,250,25,sanctity_sent,-0.1638,0.1638
428,175,250,50,sanctity_sent,0.3814,0.3814
429,175,250,75,sanctity_sent,0.4236,0.4236
430,175,250,100,sanctity_sent,0.4344,0.4344
431,175,250,125,sanctity_sent,0.4106,0.4106
432,175,250,150,sanctity_sent,-0.3967,0.3967
433,175,250,175,sanctity_sent,0.3924,0.3924
434,175,275,25,sanctity_sent,0.2681,0.2681
435,175,275,50,sanctity_sent,0.3731,0.3731
436,175,275,75,sanctity_sent,0.4212,0.4212
437,175,275,100,sanctity_sent,-0.4289,0.4289
438,175,275,125,sanctity_sent,-0.4216,0.4216
439,175,275,150,sanctity_sent,-0.4017,0.4017
440,175,275,175,sanctity_sent,0.3788,0.3788
441,175,300,25,sanctity_sent,0.2845,0.2845
442,175,300,50,sanctity_sent,0.3754,0.3754
443,175,300,75,sanctity_sent,-0.4248,0.4248
444,175,300,100,sanctity_sent,-0.4346,0.4346
445,175,300,125,sanctity_sent,-0.4215,0.4215
446,175,300,150,sanctity_sent,-0.3988,0.3988
447,175,300,175,sanctity_sent,0.3893,0.3893
448,175,325,25,sanctity_sent,-0.28,0.28
449,175,325,50,sanctity_sent,0.3777,0.3777
450,175,325,75,sanctity_sent,-0.4218,0.4218
451,175,325,100,sanctity_sent,-0.4302,0.4302
452,175,325,125,sanctity_sent,-0.4261,0.4261
453,175,325,150,sanctity_sent,-0.3928,0.3928
454,175,325,175,sanctity_sent,0.3829,0.3829
455,175,350,25,sanctity_sent,0.2598,0.2598
456,175,350,50,sanctity_sent,0.3784,0.3784
457,175,350,75,sanctity_sent,-0.4103,0.4103
458,175,350,100,sanctity_sent,-0.43,0.43
459,175,350,125,sanctity_sent,-0.4238,0.4238
460,175,350,150,sanctity_sent,0.394,0.394
461,175,350,175,sanctity_sent,0.3783,0.3783
462,175,375,25,sanctity_sent,0.2933,0.2933
463,175,375,50,sanctity_sent,0.3623,0.3623
464,175,375,75,sanctity_sent,0.4017,0.4017
465,175,375,100,sanctity_sent,-0.4024,0.4024
466,175,375,125,sanctity_sent,-0.4088,0.4088
467,175,375,150,sanctity_sent,0.3844,0.3844
468,175,375,175,sanctity_sent,0.3607,0.3607
469,175,400,25,sanctity_sent,0.2925,0.2925
470,175,400,50,sanctity_sent,0.3493,0.3493
471,175,400,75,sanctity_sent,0.3999,0.3999
472,175,400,100,sanctity_sent,-0.4048,0.4048
473,175,400,125,sanctity_sent,-0.3971,0.3971
474,175,400,150,sanctity_sent,0.3862,0.3862
