,h,l,n,care_sent,cor,cor_abs
117,100,50,25,care_sent,-0.4373,0.4373
29,50,150,25,care_sent,-0.4372,0.4372
196,125,100,25,care_sent,-0.4369,0.4369
301,150,175,25,care_sent,-0.4369,0.4369
1248,300,450,275,care_sent,0.4368,0.4368
154,100,300,25,care_sent,-0.4367,0.4367
263,125,425,100,care_sent,0.4367,0.4367
167,100,375,50,care_sent,-0.4366,0.4366
1043,275,375,250,care_sent,0.4366,0.4366
2273,450,200,50,care_sent,0.4365,0.4365
146,100,250,25,care_sent,-0.4365,0.4365
622,200,475,75,care_sent,-0.4364,0.4364
2644,475,500,100,care_sent,-0.4363,0.4363
1844,400,75,50,care_sent,-0.4361,0.4361
991,275,275,50,care_sent,-0.436,0.436
1602,350,425,350,care_sent,0.436,0.436
459,175,350,125,care_sent,0.4359,0.4359
1278,325,75,50,care_sent,0.4358,0.4358
1146,300,250,50,care_sent,0.4357,0.4357
1416,325,425,325,care_sent,0.4357,0.4357
2049,425,100,100,care_sent,-0.4356,0.4356
723,225,350,175,care_sent,0.4356,0.4356
722,225,350,150,care_sent,0.4356,0.4356
