,h,l,n,authority_sent,cor,cor_abs
294,150,125,125,authority_sent,-0.3996,0.3996
295,150,150,25,authority_sent,-0.4049,0.4049
296,150,150,50,authority_sent,0.4567,0.4567
297,150,150,75,authority_sent,-0.4943,0.4943
298,150,150,100,authority_sent,-0.4801,0.4801
299,150,150,125,authority_sent,-0.455,0.455
300,150,150,150,authority_sent,0.3948,0.3948
301,150,175,25,authority_sent,-0.3829,0.3829
302,150,175,50,authority_sent,-0.4649,0.4649
303,150,175,75,authority_sent,-0.4722,0.4722
304,150,175,100,authority_sent,-0.4691,0.4691
305,150,175,125,authority_sent,-0.4556,0.4556
306,150,175,150,authority_sent,-0.4625,0.4625
307,150,200,25,authority_sent,-0.3785,0.3785
308,150,200,50,authority_sent,-0.4574,0.4574
309,150,200,75,authority_sent,-0.4736,0.4736
310,150,200,100,authority_sent,-0.4721,0.4721
311,150,200,125,authority_sent,-0.4638,0.4638
312,150,200,150,authority_sent,0.4521,0.4521
313,150,225,25,authority_sent,-0.3795,0.3795
314,150,225,50,authority_sent,-0.4242,0.4242
315,150,225,75,authority_sent,-0.4736,0.4736
316,150,225,100,authority_sent,-0.4727,0.4727
317,150,225,125,authority_sent,-0.4659,0.4659
318,150,225,150,authority_sent,0.4538,0.4538
319,150,250,25,authority_sent,0.2975,0.2975
320,150,250,50,authority_sent,-0.3813,0.3813
321,150,250,75,authority_sent,-0.4534,0.4534
322,150,250,100,authority_sent,0.4537,0.4537
323,150,250,125,authority_sent,0.4457,0.4457
324,150,250,150,authority_sent,0.4476,0.4476
325,150,275,25,authority_sent,0.3131,0.3131
326,150,275,50,authority_sent,-0.4235,0.4235
327,150,275,75,authority_sent,-0.4103,0.4103
328,150,275,100,authority_sent,0.4215,0.4215
329,150,275,125,authority_sent,0.41,0.41
330,150,275,150,authority_sent,0.4103,0.4103
331,150,300,25,authority_sent,-0.3059,0.3059
332,150,300,50,authority_sent,-0.4096,0.4096
333,150,300,75,authority_sent,-0.3996,0.3996
334,150,300,100,authority_sent,0.4273,0.4273
335,150,300,125,authority_sent,0.4142,0.4142
336,150,300,150,authority_sent,0.4114,0.4114
337,150,325,25,authority_sent,-0.3059,0.3059
338,150,325,50,authority_sent,-0.3969,0.3969
339,150,325,75,authority_sent,-0.4165,0.4165
340,150,325,100,authority_sent,0.4259,0.4259
341,150,325,125,authority_sent,0.4299,0.4299
342,150,325,150,authority_sent,0.403,0.403
343,150,350,25,authority_sent,-0.3076,0.3076
344,150,350,50,authority_sent,-0.3924,0.3924
345,150,350,75,authority_sent,-0.4099,0.4099
346,150,350,100,authority_sent,0.4109,0.4109
347,150,350,125,authority_sent,0.4297,0.4297
348,150,350,150,authority_sent,0.4023,0.4023
349,150,375,25,authority_sent,-0.3467,0.3467
350,150,375,50,authority_sent,-0.3867,0.3867
351,150,375,75,authority_sent,0.3778,0.3778
352,150,375,100,authority_sent,0.4135,0.4135
353,150,375,125,authority_sent,0.4129,0.4129
354,150,375,150,authority_sent,0.394,0.394
355,150,400,25,authority_sent,0.283,0.283
356,150,400,50,authority_sent,-0.3911,0.3911
357,150,400,75,authority_sent,0.3645,0.3645
358,150,400,100,authority_sent,0.3923,0.3923
359,150,400,125,authority_sent,0.388,0.388
