,h,l,n,loyalty_sent,cor,cor_abs
319,150,250,25,loyalty_sent,-0.3447,0.3447
320,150,250,50,loyalty_sent,-0.4154,0.4154
321,150,250,75,loyalty_sent,-0.4148,0.4148
322,150,250,100,loyalty_sent,0.4211,0.4211
323,150,250,125,loyalty_sent,0.422,0.422
324,150,250,150,loyalty_sent,0.4403,0.4403
325,150,275,25,loyalty_sent,0.3127,0.3127
326,150,275,50,loyalty_sent,-0.4092,0.4092
327,150,275,75,loyalty_sent,0.4203,0.4203
328,150,275,100,loyalty_sent,0.4194,0.4194
329,150,275,125,loyalty_sent,0.4229,0.4229
330,150,275,150,loyalty_sent,0.4184,0.4184
331,150,300,25,loyalty_sent,-0.2754,0.2754
332,150,300,50,loyalty_sent,-0.4315,0.4315
333,150,300,75,loyalty_sent,-0.4313,0.4313
334,150,300,100,loyalty_sent,0.4088,0.4088
335,150,300,125,loyalty_sent,0.4181,0.4181
336,150,300,150,loyalty_sent,0.4211,0.4211
337,150,325,25,loyalty_sent,-0.2666,0.2666
338,150,325,50,loyalty_sent,-0.4278,0.4278
339,150,325,75,loyalty_sent,-0.4469,0.4469
340,150,325,100,loyalty_sent,0.4057,0.4057
341,150,325,125,loyalty_sent,0.4061,0.4061
342,150,325,150,loyalty_sent,0.4144,0.4144
343,150,350,25,loyalty_sent,0.2597,0.2597
344,150,350,50,loyalty_sent,-0.3982,0.3982
345,150,350,75,loyalty_sent,0.4177,0.4177
346,150,350,100,loyalty_sent,0.3945,0.3945
347,150,350,125,loyalty_sent,0.3941,0.3941
348,150,350,150,loyalty_sent,0.4006,0.4006
349,150,375,25,loyalty_sent,-0.2424,0.2424
350,150,375,50,loyalty_sent,-0.3965,0.3965
351,150,375,75,loyalty_sent,0.4243,0.4243
352,150,375,100,loyalty_sent,0.386,0.386
353,150,375,125,loyalty_sent,0.3742,0.3742
354,150,375,150,loyalty_sent,0.4052,0.4052
355,150,400,25,loyalty_sent,-0.2424,0.2424
356,150,400,50,loyalty_sent,-0.3488,0.3488
357,150,400,75,loyalty_sent,0.4038,0.4038
358,150,400,100,loyalty_sent,0.3815,0.3815
359,150,400,125,loyalty_sent,0.3566,0.3566
360,150,400,150,loyalty_sent,0.3906,0.3906
361,150,425,25,loyalty_sent,0.1669,0.1669
362,150,425,50,loyalty_sent,0.3442,0.3442
363,150,425,75,loyalty_sent,0.3947,0.3947
364,150,425,100,loyalty_sent,0.3768,0.3768
365,150,425,125,loyalty_sent,0.3644,0.3644
366,150,425,150,loyalty_sent,0.4027,0.4027
367,150,450,25,loyalty_sent,0.1233,0.1233
368,150,450,50,loyalty_sent,0.3259,0.3259
369,150,450,75,loyalty_sent,0.3844,0.3844
370,150,450,100,loyalty_sent,0.3643,0.3643
371,150,450,125,loyalty_sent,0.3511,0.3511
372,150,450,150,loyalty_sent,0.3871,0.3871
373,150,475,25,loyalty_sent,0.0718,0.0718
374,150,475,50,loyalty_sent,-0.3067,0.3067
375,150,475,75,loyalty_sent,0.3815,0.3815
376,150,475,100,loyalty_sent,0.362,0.362
377,150,475,125,loyalty_sent,0.3463,0.3463
378,150,475,150,loyalty_sent,0.3674,0.3674
379,150,500,25,loyalty_sent,0.0718,0.0718
380,150,500,50,loyalty_sent,0.2928,0.2928
381,150,500,75,loyalty_sent,-0.379,0.379
382,150,500,100,loyalty_sent,0.3572,0.3572
383,150,500,125,loyalty_sent,0.3375,0.3375
384,150,500,150,loyalty_sent,0.3527,0.3527
385,175,25,25,loyalty_sent,-0.1688,0.1688
386,175,50,25,loyalty_sent,-0.4024,0.4024
387,175,50,50,loyalty_sent,-0.33,0.33
388,175,75,25,loyalty_sent,-0.4342,0.4342
389,175,75,50,loyalty_sent,-0.4478,0.4478
390,175,75,75,loyalty_sent,-0.3807,0.3807
391,175,100,25,loyalty_sent,-0.4465,0.4465
392,175,100,50,loyalty_sent,-0.4583,0.4583
393,175,100,75,loyalty_sent,-0.4413,0.4413
394,175,100,100,loyalty_sent,-0.3925,0.3925
395,175,125,25,loyalty_sent,-0.4446,0.4446
396,175,125,50,loyalty_sent,-0.4803,0.4803
397,175,125,75,loyalty_sent,0.4775,0.4775
398,175,125,100,loyalty_sent,-0.4723,0.4723
399,175,125,125,loyalty_sent,-0.3984,0.3984
400,175,150,25,loyalty_sent,-0.4488,0.4488
401,175,150,50,loyalty_sent,-0.4929,0.4929
402,175,150,75,loyalty_sent,-0.4889,0.4889
403,175,150,100,loyalty_sent,-0.4883,0.4883
404,175,150,125,loyalty_sent,-0.4934,0.4934
405,175,150,150,loyalty_sent,-0.4463,0.4463
406,175,175,25,loyalty_sent,-0.451,0.451
407,175,175,50,loyalty_sent,-0.4591,0.4591
408,175,175,75,loyalty_sent,-0.4617,0.4617
409,175,175,100,loyalty_sent,0.4946,0.4946
410,175,175,125,loyalty_sent,-0.497,0.497
411,175,175,150,loyalty_sent,-0.4977,0.4977
412,175,175,175,loyalty_sent,-0.4604,0.4604
413,175,200,25,loyalty_sent,-0.3797,0.3797
414,175,200,50,loyalty_sent,-0.4275,0.4275
415,175,200,75,loyalty_sent,-0.4367,0.4367
416,175,200,100,loyalty_sent,-0.4649,0.4649
417,175,200,125,loyalty_sent,-0.4724,0.4724
418,175,200,150,loyalty_sent,-0.4899,0.4899
419,175,200,175,loyalty_sent,-0.4943,0.4943
420,175,225,25,loyalty_sent,-0.3505,0.3505
421,175,225,50,loyalty_sent,-0.419,0.419
422,175,225,75,loyalty_sent,-0.4357,0.4357
423,175,225,100,loyalty_sent,0.4309,0.4309
424,175,225,125,loyalty_sent,-0.4642,0.4642
425,175,225,150,loyalty_sent,-0.4798,0.4798
426,175,225,175,loyalty_sent,0.4757,0.4757
427,175,250,25,loyalty_sent,-0.3367,0.3367
428,175,250,50,loyalty_sent,0.4135,0.4135
429,175,250,75,loyalty_sent,-0.4346,0.4346
430,175,250,100,loyalty_sent,0.418,0.418
431,175,250,125,loyalty_sent,0.4505,0.4505
432,175,250,150,loyalty_sent,0.4672,0.4672
433,175,250,175,loyalty_sent,0.4618,0.4618
434,175,275,25,loyalty_sent,0.3244,0.3244
435,175,275,50,loyalty_sent,0.4004,0.4004
436,175,275,75,loyalty_sent,-0.4096,0.4096
437,175,275,100,loyalty_sent,0.4173,0.4173
438,175,275,125,loyalty_sent,0.4257,0.4257
439,175,275,150,loyalty_sent,0.4404,0.4404
440,175,275,175,loyalty_sent,0.438,0.438
441,175,300,25,loyalty_sent,0.2624,0.2624
442,175,300,50,loyalty_sent,-0.4166,0.4166
443,175,300,75,loyalty_sent,-0.4366,0.4366
444,175,300,100,loyalty_sent,0.4157,0.4157
445,175,300,125,loyalty_sent,0.4291,0.4291
446,175,300,150,loyalty_sent,0.4344,0.4344
447,175,300,175,loyalty_sent,0.4249,0.4249
448,175,325,25,loyalty_sent,0.3417,0.3417
449,175,325,50,loyalty_sent,-0.4241,0.4241
450,175,325,75,loyalty_sent,0.4517,0.4517
451,175,325,100,loyalty_sent,0.4229,0.4229
452,175,325,125,loyalty_sent,0.4186,0.4186
453,175,325,150,loyalty_sent,0.4127,0.4127
454,175,325,175,loyalty_sent,0.4067,0.4067
455,175,350,25,loyalty_sent,0.1048,0.1048
456,175,350,50,loyalty_sent,0.4035,0.4035
457,175,350,75,loyalty_sent,0.4281,0.4281
458,175,350,100,loyalty_sent,0.4239,0.4239
459,175,350,125,loyalty_sent,0.4062,0.4062
460,175,350,150,loyalty_sent,0.3862,0.3862
461,175,350,175,loyalty_sent,0.3938,0.3938
462,175,375,25,loyalty_sent,0.017,0.017
463,175,375,50,loyalty_sent,0.3657,0.3657
464,175,375,75,loyalty_sent,0.4272,0.4272
465,175,375,100,loyalty_sent,0.4133,0.4133
466,175,375,125,loyalty_sent,0.3966,0.3966
467,175,375,150,loyalty_sent,0.3702,0.3702
468,175,375,175,loyalty_sent,0.3888,0.3888
469,175,400,25,loyalty_sent,0.0679,0.0679
