word,care_p,fairness_p,loyalty_p,authority_p,sanctity_p,care_sent,fairness_sent,loyalty_sent,authority_sent,sanctity_sent
waste,0.416666667,0.15,0.027777778,0.136363636,0.1875,-0.63313,-0.604316667,-0.9022,-0.592533333,-0.609283333
comply,0.125,0.259259259,0.142857143,0.375,0.142857143,-0.6287,-0.225342857,-0.29628,0.005466667,0
died,0.234782609,0.079787234,0.062780269,0.048888889,0.098265896,-0.62817963,-0.69326,-0.65435,-0.709036364,-0.579811765
hate,0.188888889,0.175510204,0.096590909,0.118055556,0.118556701,-0.626370588,-0.631197674,-0.552758824,-0.640611765,-0.672278261
inside,0.045454545,0.02962963,0.036809816,0.037593985,0.039735099,-0.625028571,-0.518375,-0.27795,-0.45392,-0.058116667
appeal,0.016129032,0.083333333,0.075471698,0.094594595,0.070175439,-0.6249,-0.197085714,0.1531,-0.095114286,-0.191125
representative,0.016393443,0.038961039,0.091954023,0.0375,0.014492754,-0.6249,-0.2083,-0.2174625,0,0.5994
threatened,0.27184466,0.288888889,0.188235294,0.235294118,0.139240506,-0.624103571,-0.543296154,-0.48595625,-0.541415,-0.568718182
ban,0.172588832,0.16080402,0.176470588,0.160714286,0.132947977,-0.623782353,-0.665275,-0.508089744,-0.485716667,-0.540378261
violations,0.122807018,0.203389831,0.186440678,0.181818182,0.192982456,-0.623557143,-0.627841667,-0.614054545,-0.594042857,-0.647036364
stock,0.026315789,0.064935065,0,0.027777778,0.064935065,-0.62215,-0.1061,0,0.07655,-0.24452
reasons,0.083333333,0.141414141,0.094117647,0.074074074,0.036585366,-0.621742857,-0.163207143,-0.1301,-0.0986375,-0.4553
punish,0.375,0.222222222,0.208333333,0.25,0.25,-0.621083333,-0.6535,-0.36164,-0.2596,-0.41494
attempted,0.255319149,0.12,0.224489796,0.113636364,0.054054054,-0.619775,-0.454016667,-0.384109091,-0.58954,-0.33525
war,0.117647059,0.080200501,0.098660171,0.069605568,0.066666667,-0.619745455,-0.652029688,-0.59552963,-0.579885,-0.584922449
beginning,0.081967213,0.023255814,0.028169014,0.086021505,0,-0.6191,0.4939,-0.4542,0.0613,0
published,0.010989011,0.03164557,0.020833333,0.012820513,0.005681818,-0.61675,-0.0907,0.085,0.11315,-0.5994
sentenced,0.115384615,0.323529412,0.074074074,0.15,0.02173913,-0.6165,-0.393118182,-0.27625,-0.348383333,-0.5267
opponents,0.173333333,0.11,0.13,0.208791209,0.133333333,-0.616384615,-0.301936364,-0.271992308,-0.329089474,-0.29011
bomber,0.315789474,0.161290323,0.19047619,0.242424242,0.142857143,-0.616333333,-0.64746,-0.795125,-0.845025,-0.8968
arguing,0.184210526,0.045454545,0.021276596,0.098039216,0.048780488,-0.615785714,-0.31565,-0.4588,-0.46998,-0.4588
loss,0.125,0.075268817,0.08,0.097345133,0.064935065,-0.614290909,-0.186728571,-0.25595,-0.4622,0.00212
betrayal,0.357142857,0.2,0.476190476,0.24,0.142857143,-0.61406,-0.406325,-0.43474,-0.454916667,-0.69395
possibility,0.075471698,0.075949367,0.191176471,0.088607595,0.033333333,-0.613825,-0.260766667,-0.198361538,-0.072942857,-0.0502
nightclub,0.296296296,0.2,0.045454545,0.043478261,0.076923077,-0.61295,-0.647575,-0.5994,0.2263,-0.6369
danger,0.205479452,0.120689655,0.128205128,0.136363636,0.111111111,-0.612513333,-0.310457143,-0.25076,-0.324233333,-0.482555556
brutality,0.227272727,0.107142857,0.133333333,0.227272727,0.157894737,-0.6124,-0.697333333,-0.535,-0.41232,-0.6808
acquisition,0.04,0.263157895,0.166666667,0.05,0,-0.6115,-0.3441,-0.161275,0.5267,0
condemned,0.2,0.163265306,0.142857143,0.285714286,0.194444444,-0.611,-0.6308,-0.57292,-0.442083333,-0.5631
bombers,0.333333333,0.083333333,0.2,0.111111111,0.064516129,-0.61045,-0.616375,-0.42204,-0.79025,-0.7229
attack,0.25308642,0.148051948,0.145945946,0.155063291,0.121019108,-0.610384146,-0.608678947,-0.561985185,-0.572814286,-0.661747368
tweet,0.065217391,0.113207547,0.113636364,0.0625,0.04,-0.609266667,-0.187316667,-0.37562,-0.36335,-0.11535
crisis,0.147239264,0.098290598,0.075829384,0.082949309,0.053398058,-0.607575,-0.655773913,-0.4771875,-0.610322222,-0.637827273
fear,0.17370892,0.11790393,0.178423237,0.141078838,0.107758621,-0.606451351,-0.556592593,-0.522576744,-0.463344118,-0.507988
seriously,0.09375,0.125,0.066666667,0.125,0.042553191,-0.606333333,-0.06996,-0.30834,-0.309066667,0.07015
crash,0.169491525,0.093023256,0.035714286,0.018181818,0,-0.60556,-0.461025,-0.5308,-0.4019,0
flawed,0.086956522,0.45,0.192307692,0.09375,0.166666667,-0.60545,-0.171711111,-0.15562,0.232366667,0
prisoners,0.189655172,0.176470588,0.084745763,0.177419355,0.06779661,-0.604390909,-0.438825,-0.40532,-0.503072727,-0.491325
refuse,0.171428571,0.272727273,0.135135135,0.235294118,0.117647059,-0.6036,-0.248708333,-0.44094,-0.448291667,-0.13415
weapon,0.333333333,0.139534884,0.087719298,0.188679245,0.02173913,-0.600135714,-0.23415,-0.3883,-0.47112,-0.9081
quietly,0.058823529,0.230769231,0.162162162,0.111111111,0.04,-0.5994,0.036477778,-0.27445,0.2793,-0.5574
insurgency,0.228571429,0.097560976,0.166666667,0.132075472,0.137931034,-0.5994,-0.70765,-0.345028571,-0.217214286,-0.544875
harm,0.345454545,0.171052632,0.177419355,0.088235294,0.175438596,-0.598136842,-0.407284615,-0.415209091,-0.487716667,-0.58643
accused,0.236024845,0.27173913,0.233918129,0.247474747,0.255172414,-0.597560526,-0.415716,-0.4938375,-0.505418367,-0.615381081
enemy,0.132352941,0.166666667,0.122807018,0.1875,0.2,-0.596377778,-0.619081818,-0.505542857,-0.559741667,-0.643018182
cancer,0.109489051,0.067961165,0.05511811,0.041666667,0.090909091,-0.59426,-0.6864,-0.5563,-0.6597,-0.61891
inmate,0.113636364,0.115384615,0.148148148,0.130434783,0.121212121,-0.5928,-0.5994,-0.22905,-0.4846,-0.512775
shattered,0.206896552,0,0.125,0.125,0,-0.59275,0,-0.4767,-0.343533333,0
charged,0.198113208,0.230769231,0.102564103,0.111888112,0.160305344,-0.591166667,-0.480261111,-0.268375,-0.53595625,-0.41757619
defeat,0.117647059,0.102564103,0.101851852,0.070588235,0.107142857,-0.59101,-0.6107375,-0.353590909,-0.366533333,-0.4063
destroyed,0.302631579,0.12,0.105263158,0.120879121,0.183333333,-0.590334783,-0.573755556,-0.5982875,-0.346409091,-0.639336364
troubled,0.133333333,0.054054054,0.133333333,0.114285714,0.090909091,-0.5897,-0.5842,-0.3644,-0.280325,-0.476066667
shoot,0.305555556,0.096774194,0.0625,0.16,0.294117647,-0.588736364,-0.820133333,-0.91,-0.409725,-0.3372
severely,0.25,0.114285714,0.236842105,0.170731707,0.15625,-0.588242857,-0.41645,-0.381144444,-0.308071429,-0.65202
attacks,0.233576642,0.109677419,0.116591928,0.156028369,0.121621622,-0.586676042,-0.531027451,-0.556973077,-0.544398485,-0.561264444
stealing,0.315789474,0.333333333,0.375,0.25,0.352941176,-0.584733333,-0.508533333,-0.524516667,-0.56864,-0.637283333
wars,0.159090909,0.044776119,0.086206897,0.063636364,0.113924051,-0.583871429,-0.6129,-0.50056,-0.603542857,-0.619155556
ownership,0.090909091,0.208333333,0.102564103,0.155555556,0.175,-0.5827,-0.15772,-0.4414,0.072942857,-0.046585714
interrogation,0.4,0.255813953,0.103448276,0.025641026,0.3125,-0.580425,-0.415509091,-0.1201,-0.3612,-0.74752
following,0.055865922,0.068783069,0.084745763,0.06741573,0.053691275,-0.58002,-0.072907692,-0.0687,-0.068608333,-0.251225
suffer,0.195652174,0.108108108,0.105263158,0.12195122,0.117647059,-0.579088889,-0.54555,-0.77385,-0.6707,-0.574766667
violate,0.217391304,0.285714286,0.16,0.409090909,0.294117647,-0.57746,-0.39614,-0.45905,-0.502011111,-0.59348
somewhat,0.2,0.081081081,0.087719298,0.135135135,0.086956522,-0.575085714,-0.465033333,-0.54662,-0.1281,-0.82255
terrible,0.25,0.121212121,0.142857143,0.076923077,0.258064516,-0.573642857,-0.746425,-0.249375,-0.355533333,-0.47005
abused,0.380952381,0.066666667,0.285714286,0.266666667,0.285714286,-0.5720625,-0.7003,-0.506425,-0.5861,-0.634775
swiftly,0.090909091,0.3,0.090909091,0.115384615,0,-0.5719,0.33705,0.04685,0.159766667,0
duties,0.043478261,0.0625,0,0.217391304,0.25,-0.5719,0.296,0,0.14728,-0.2333
grassroots,0.133333333,0,0.083333333,0.178571429,0,-0.5719,0,-0.5243,0.00714,0
elites,0.032258065,0.255319149,0.233333333,0.15,0.138888889,-0.5719,-0.262925,-0.400257143,-0.311766667,-0.14088
rock,0.028985507,0.034883721,0.024096386,0.073394495,0.025974026,-0.571,-0.164966667,-0.0618,-0.4923125,0.05135
havoc,0.142857143,0.157894737,0.333333333,0.153846154,0.090909091,-0.56995,-0.283833333,-0.56975,-0.5994,-0.5994
drink,0.161290323,0.078947368,0.086956522,0.153846154,0.125,-0.56808,-0.262233333,0.246,0.2202,-0.2357
tweets,0.044444444,0.105263158,0.023255814,0.056603774,0.133333333,-0.56775,-0.206166667,-0.4215,-0.180766667,-0.020133333
disabled,0.416666667,0.222222222,0.103448276,0.12,0.228571429,-0.567666667,-0.5130125,-0.335066667,-0.246566667,-0.6989625
scandal,0.14,0.177777778,0.170212766,0.166666667,0.295081967,-0.567571429,-0.67995,-0.612975,-0.35094,-0.545738889
